Area6 Thiru-Vi-Ka Nagar,,
Time,rainfall,Groundwater level
1/01/2021,0,-1.274
2/01/2021,2.6,-1.239
3/01/2021,1.2,-1.217
4/01/2021,0.4,-1.241
5/01/2021,138.6,-0.619
6/01/2021,5,-0.393
7/01/2021,4,-0.49
8/01/2021,0.8,-0.59
9/01/2021,0.8,-0.684
10/01/2021,0.6,-0.786
11/01/2021,0,-0.792
12/01/2021,0,-0.892
13/01/2021,0,-0.927
14/01/2021,0,-0.926
15/01/2021,0,-0.981
16/01/2021,0,-1.013
17/01/2021,0,-1.023
18/01/2021,0,-1.039
19/01/2021,0,-1.076
20/01/2021,0,-1.085
21/01/2021,0,-1.15
22/01/2021,0,-1.179
23/01/2021,0,-1.237
24/01/2021,0,-1.204
25/01/2021,0,-1.252
26/01/2021,0,-1.248
27/01/2021,0,-1.322
28/01/2021,0,-1.457
29/01/2021,0,-1.367
30/01/2021,0,-1.352
31/01/2021,0,-1.392
1/02/2021,0,-1.424
2/02/2021,0,-1.424
3/02/2021,0,-1.572
4/02/2021,0,-1.55
5/02/2021,0,-1.48
6/02/2021,0,-1.473
7/02/2021,0,-1.544
8/02/2021,0,-1.537
9/02/2021,0,-1.523
10/02/2021,0,-1.521
11/02/2021,0,-1.681
12/02/2021,0,-1.55
13/02/2021,0,-1.557
14/02/2021,0,-1.573
15/02/2021,0,-1.578
16/02/2021,0,-1.579
17/02/2021,0,-1.603
18/02/2021,0,-1.645
19/02/2021,0,-1.615
20/02/2021,0,-1.65
21/02/2021,0,-1.646
22/02/2021,0,-1.632
23/02/2021,0,-1.641
24/02/2021,0,-1.673
25/02/2021,0,-1.661
26/02/2021,0,-1.664
27/02/2021,0,-1.667
28/02/2021,0,-1.707
1/03/2021,0,-1.727
2/03/2021,0,-1.711
3/03/2021,0,-1.759
4/03/2021,0,-1.76
5/03/2021,0,-1.819
6/03/2021,0,-1.837
7/03/2021,0,-1.816
8/03/2021,0,-1.953
9/03/2021,0,-1.853
10/03/2021,0,-1.879
11/03/2021,0,-1.871
12/03/2021,0,-1.921
13/03/2021,0,-1.918
14/03/2021,0,-1.96
15/03/2021,0,-1.954
16/03/2021,0,-1.968
17/03/2021,0,-1.968
18/03/2021,0,-1.975
19/03/2021,0,-1.975
20/03/2021,0,-1.983
21/03/2021,0,-1.957
22/03/2021,0,-1.987
23/03/2021,0,-1.981
24/03/2021,0,-1.948
25/03/2021,0,-1.955
26/03/2021,0,-1.977
27/03/2021,0,-1.969
28/03/2021,0,-1.981
29/03/2021,0,-2.003
30/03/2021,0,-2.002
31/03/2021,0,-2.017
1/04/2021,0,-2.004
2/04/2021,0,-2.063
3/04/2021,0,-2.122
4/04/2021,0,-2.13
5/04/2021,0,-2.095
6/04/2021,0,-2.142
7/04/2021,0,-2.109
8/04/2021,0,-2.118
9/04/2021,0,-2.159
10/04/2021,0,-2.177
11/04/2021,0,-2.227
12/04/2021,0,-2.192
13/04/2021,0,-2.18
14/04/2021,1.2,-2.024
15/04/2021,4,-1.701
16/04/2021,0.2,-1.663
17/04/2021,0.2,-1.619
18/04/2021,0,-1.679
19/04/2021,0,-1.668
20/04/2021,0,-1.82
21/04/2021,0,-1.757
22/04/2021,0,-1.739
23/04/2021,0,-1.761
24/04/2021,0,-1.765
25/04/2021,0,-1.772
26/04/2021,0,-1.782
27/04/2021,0,-1.847
28/04/2021,0,-1.85
29/04/2021,0,-1.831
30/04/2021,0,-1.915
1/05/2021,0,-1.913
2/05/2021,0,-1.956
3/05/2021,0,-1.978
4/05/2021,0,-2.004
5/05/2021,0,-1.967
6/05/2021,0,-2.016
7/05/2021,0,-2.042
8/05/2021,0,-2.102
9/05/2021,0,-2.066
10/05/2021,0,-2.128
11/05/2021,0,-2.053
12/05/2021,0,-2.048
13/05/2021,0,-2.091
14/05/2021,0,-2.088
15/05/2021,0,-2.114
16/05/2021,0,-2.134
17/05/2021,0,-2.192
18/05/2021,0,-2.153
19/05/2021,0,-2.17
20/05/2021,0,-2.323
21/05/2021,0,-2.105
22/05/2021,0,-2.019
23/05/2021,0,-1.996
24/05/2021,0,-1.956
25/05/2021,0,-1.953
26/05/2021,0,-1.944
27/05/2021,0,-2.018
